Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459203,0,-0.046875,-0.9091797,0.2583008,1.068702,4.839694,-3.343511
1609459203,217,-0.05273438,-0.9428711,0.2963867,4.969466,-1.847328,-2.335878
1609459204,0,-0.02929688,-0.9296875,0.3359375,4.305344,3.992366,0.351145
1609459204,218,-0.03466797,-0.8388672,0.3530274,10.31298,3.496183,-3.290076
1609459204,437,-0.03076172,-0.8735351,0.3588867,-17.99237,-7.541985,0.6641222
1609459204,657,-0.01904297,-0.8891602,0.3212891,-11.10687,12.9771,-1.328244
1609459205,0,-0.1254883,-0.9345703,0.3574219,2.648855,-7.007634,3.816794
1609459205,259,-0.02636719,-1.007813,0.3745117,-22.06107,7.221374,2.977099
1609459205,510,-0.1010742,-0.9204102,0.2714844,-6.007634,-7.801527,0.06870229
1609459205,761,-0.1513672,-0.9516602,0.1958008,-20.46565,-17.58779,-4.832061
1609459206,0,-0.06152344,-0.6982422,0.0600586,-48.40458,-18.23664,21.06107
1609459206,253,-0.06933594,-1.075195,-0.0678711,-29.53435,-10.75572,20.35878
1609459206,508,-0.125,-0.9931641,-0.1977539,2.442748,-39.96183,-2.282443
1609459206,767,-0.05126953,-1.016113,-0.09912108,3.389313,1.335878,1.183206
1609459207,0,-0.3276367,-0.9125977,0.01708984,-22.54198,-26.80153,22.36641
1609459207,262,-0.128418,-0.9296875,0.02001953,-11.10687,-10.82443,3.099237
1609459207,522,-0.2646484,-0.9106445,-0.04882812,22.67175,70.62595,-31.56489
1609459207,778,0.02636719,-1.248535,-0.1606445,25.80916,33.0,-23.9313
1609459208,0,-0.02685547,-1.105957,-0.08789062,-5.206107,-59.70229,14.29771
1609459208,256,-0.6352539,-0.9375,-0.08935547,-29.55725,-74.52672,27.73283
1609459208,564,-0.05419922,-0.9580078,0.1591797,-25.61069,-8.877863,-18.36641
1609459208,825,-0.2485352,-1.155273,-0.4355469,37.71756,105.8626,-17.98473
1609459209,0,0.05615234,-0.9521483,-0.01708984,46.8626,17.72519,0.7480916
1609459209,255,-0.3100586,-0.6430664,-0.05126953,-51.9771,-40.23664,52.91603
