Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459203,0,-0.28125,1.006836,0.3730469,2.572519,-13.9084,16.52672
1609459203,217,-0.04833984,1.03418,0.3486328,8.061069,-17.67175,3.290076
1609459204,0,0.02197266,0.9350585,0.2548828,1.374046,-14.34351,-2.748092
1609459204,268,0.04101562,0.8789063,0.21875,2.419847,22.01526,-14.61832
1609459204,485,-0.1503906,0.9042969,0.1547852,-9.885496,21.74809,-0.5496183
1609459204,703,-0.1958008,0.9165039,0.1899414,-13.0687,21.26718,2.763359
1609459205,0,-0.1899414,0.9042969,0.1787109,13.66412,-18.42748,-9.152672
1609459205,261,-0.07177734,0.9511718,0.1425781,33.93893,-52.14504,-0.00763359
1609459205,518,-0.1694336,1.053711,-0.0600586,15.58779,-48.91603,-1.900763
1609459205,773,-0.128418,1.041504,-0.04736328,-10.78626,-40.59542,-17.43511
1609459206,0,-0.1308594,0.9892578,-0.07177734,-6.801527,-13.67939,-5.587786
1609459206,256,-0.2319336,1.365234,0.1806641,-39.93893,1.51145,12.96183
1609459206,516,-0.125,0.8457031,0.2255859,-21.71756,7.816793,17.43511
1609459206,774,-0.1879883,0.9145508,0.2192383,3.625954,-17.43511,-1.633588
1609459207,0,-0.2026367,1.025879,0.1088867,30.05343,-11.14504,-6.72519
1609459207,309,-0.03320312,0.9692384,0.05761719,40.48092,-22.67939,-55.45038
1609459207,560,-0.2827148,0.9873048,-0.1049805,-43.37404,25.91603,3.045802
1609459207,815,-0.1337891,0.8310548,0.2407227,-78.39695,54.52672,51.93893
1609459208,0,-0.2543945,0.8383789,0.21875,0.4274809,20.21374,26.53435
1609459208,263,0.0834961,1.033203,0.519043,19.39695,61.1374,21.50382
1609459208,523,-0.00585938,0.9887695,0.09375,-24.22137,95.94657,14.81679
1609459208,784,-0.078125,1.077637,0.1318359,-31.64122,35.58779,-1.847328
1609459209,0,-0.1503906,0.9130859,0.15625,111.1069,-78.68702,-83.60305
1609459209,257,-0.1396484,0.8325195,0.1772461,25.74809,-41.37405,-79.94656
1609459209,517,-0.449707,1.172852,0.07714844,-30.52672,-1.778626,154.4657
1609459209,775,-0.1015625,0.8510742,0.05957031,-34.92366,69.60305,20.78626
1609459210,0,-0.5400391,1.111816,-0.1420898,52.09924,-25.64122,-144.0992
1609459210,267,-0.168457,0.7412109,0.2734375,-6.557252,6.465649,12.0687
1609459210,529,-0.2451172,1.004395,0.125,-29.31298,50.8168,170.2901
1609459211,0,-0.1889648,0.9692384,-0.04785156,6.129771,-55.28244,-52.38931
1609459211,262,-0.4101563,1.01709,-0.07666016,13.15267,-46.83969,-147.6565
1609459211,571,-0.3862305,0.7158203,0.2167969,-28.21374,21.16794,94.93893
1609459211,832,-0.3740234,0.9389649,0.1015625,-7.328245,26.21374,128.8779
1609459212,0,0.05517578,1.35791,0.1914062,40.80916,-95.771,-138.5343
1609459212,265,-0.1845703,0.8193359,-0.04003906,9.641221,-34.74046,-89.23664
1609459212,528,-0.3188477,1.082031,0.2446289,-26.96183,19.38168,110.6107
1609459212,792,-0.355957,0.8637695,0.2221679,-2.51145,9.748092,58.63358
1609459213,0,-0.01904297,1.25293,0.05566406,42.90076,-84.67939,-116.7176
1609459213,264,-0.1850586,0.9199218,0.02441406,-0.8931297,-23.46565,-56.09924
1609459213,527,-0.2646484,0.949707,0.2290039,-45.38168,6.40458,106.3053
1609459213,798,-0.3271484,0.9536133,0.175293,1.59542,3.854962,30.0916
1609459214,0,-0.04199219,1.07666,0.1757812,35.16794,-81.98473,-99.83969
1609459214,267,-0.2260742,0.9526367,0.04589844,18.64122,-13.41985,-61.24427
1609459214,539,-0.2739258,0.8017578,0.3095703,-60.25954,47.90076,107.9847
1609459215,0,-0.359375,0.8710938,0.152832,-2.59542,18.83206,46.61069
1609459215,269,-0.1157227,0.9541017,0.1235352,29.96183,-118.8015,-67.41222
1609459215,537,-0.0415039,0.90625,-0.04394531,22.70229,-84.32825,-68.62595
1609459215,855,-0.6401367,0.8383789,0.2368164,6.70229,-77.77863,5.938931
1609459216,0,-0.2978516,0.8105469,-0.07421875,28.58779,-161.9771,-18.45038
1609459216,266,0.4604492,1.177246,0.140625,29.65649,-124.687,-32.74809
1609459216,533,-0.02734375,0.7177734,0.140625,-14.48092,-58.01527,-17.9771
1609459216,802,0.1333008,0.8061523,0.6542969,-33.57252,-2.244275,-12.93893
1609459217,0,-0.2568359,-0.3105469,-0.6889649,155.6718,147.7099,-64.98473
1609459217,270,-0.2949219,0.1416016,-1.898437,246.8321,102.3206,84.96947
1609459217,539,-0.1108398,-0.3349609,-0.722168,28.07634,-135.3969,-47.76336
1609459218,0,-0.7114258,-0.4711914,-0.3842774,11.9771,-20.05343,-10.98473
1609459218,305,-0.7954102,-0.5493164,-0.5380859,-1.137405,12.37405,11.96183
1609459218,555,-0.7246094,-0.5185547,-0.4663086,-12.35878,-12.81679,24.83969
