Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459203,0,0.1870117,-1.05957,0.2333984,-21.51145,35.0458,-37.26717
1609459203,217,0.309082,-0.8374023,0.1992188,-11.06107,16.55725,4.10687
1609459204,0,0.2094727,-0.8349609,0.2475586,-1.740458,3.267176,17.0
1609459204,218,0.09472656,-1.088379,0.2246094,-13.0458,-2.083969,24.41221
1609459204,437,0.09765625,-0.9243164,0.01611328,-12.81679,-0.1145038,4.458015
1609459204,657,0.04296875,-0.8891602,-0.02783203,-10.29008,4.679389,-17.07634
1609459205,0,0.4257813,-0.8178711,-0.02929688,8.977099,18.37405,-12.77863
1609459205,259,0.06591797,-0.887207,0.3032227,-7.984733,40.32061,12.67176
1609459205,517,0.1582031,-1.218262,0.03857422,-2.015267,-77.28244,11.53435
1609459205,768,0.1582031,-0.8632813,-0.1025391,20.32825,-12.57252,0.06870229
1609459206,0,0.1943359,-1.329102,-0.01269531,-15.76336,71.83969,-11.28244
1609459206,259,0.1918945,-0.8339844,0.1445313,-12.10687,63.63359,-5.08397
1609459206,511,0.05810547,-1.257324,0.09375,10.22901,-53.20611,26.52672
1609459206,770,0.09033203,-0.7709961,-0.0703125,15.50382,-33.66412,6.21374
1609459207,0,0.05419922,-0.9282227,0.1894531,3.793893,44.59542,-15.20611
1609459207,261,0.1835938,-0.7802734,0.168457,-9.244275,10.72519,-13.23664
1609459207,522,0.02294922,-1.186523,0.3120117,10.9542,-67.51145,36.32061
1609459207,777,0.06054688,-0.8569336,-0.09814453,19.42748,-106.6412,19.09924
1609459208,0,0.01513672,-0.9965819,0.05322266,-20.92366,19.58779,-14.30534
1609459208,254,0.2895508,-1.043945,0.06152344,-20.63359,24.54198,-1.038168
1609459208,561,0.1020508,-0.9760742,0.1801758,7.610687,-8.984733,13.08397
1609459208,821,-0.05419922,-1.030762,-0.06738281,14.33588,-116.3817,-2.328244
1609459209,0,0.04492188,-0.8964844,-0.02197266,19.15267,-28.19847,2.641221
1609459209,258,0.2797852,-0.8608398,0.1445313,-36.80916,26.56489,-16.33588
1609459209,522,0.04980469,-0.8623048,0.2163086,-28.19847,-44.44275,-6.923664
1609459209,782,0.03027344,-1.233887,-0.1323242,17.51145,-120.9466,10.38931
1609459210,0,0.0,-0.9267578,-0.1767578,39.24427,-56.83206,14.12977
1609459210,258,0.1757812,-1.01416,0.02441406,-36.1832,37.72519,1.328244
1609459210,518,0.128418,-0.7543945,0.1469727,-21.77863,-15.0687,-24.68702
1609459210,780,-0.02929688,-1.421387,-0.2460938,20.53435,-78.84733,7.083969
1609459211,0,-0.02148438,-0.8808594,-0.02001953,28.54962,-55.16031,0.4656488
1609459211,263,0.09912108,-1.260742,0.2050781,-21.77863,18.9084,-25.64122
1609459211,527,0.2529297,-0.9257813,0.1538086,-15.49618,-4.10687,3.442748
1609459212,0,0.1938477,-0.9536133,0.1606445,-0.2061069,-27.64122,14.30534
1609459212,260,0.1855469,-1.161621,0.08203125,-11.08397,-45.0687,14.47328
1609459212,523,0.0805664,-0.8588867,-0.08886719,17.44275,-32.54198,3.916031
1609459212,833,0.2866211,-1.390625,0.1567383,-23.9313,57.31298,-30.05343
1609459213,0,0.1357422,-0.7514649,0.06982422,-0.05343513,-4.412214,3.778626
1609459213,268,0.09228517,-0.9770508,0.3007813,-7.549619,-7.068702,20.42748
1609459213,533,0.1713867,-1.174316,-0.2568359,15.52672,-41.22137,18.65649
1609459213,802,0.04785156,-0.7753906,-0.03417969,17.35114,-42.60305,-6.770992
1609459214,0,0.05664062,-1.625977,0.2294922,-37.40458,47.66412,-38.49618
1609459214,269,0.1889648,-0.7905273,-0.01757812,-19.92366,119.6412,18.0229
1609459214,534,0.1650391,-0.9960938,0.08886719,9.877863,-65.64886,7.763359
1609459215,0,-0.09814453,-1.039551,-0.1591797,10.19847,-93.69466,-16.9771
1609459215,268,0.1088867,-0.9047851,-0.112793,14.10687,-15.20611,-16.1145
1609459215,538,0.1762695,-0.8598633,-0.1801758,-21.87786,-49.29008,-8.167939
1609459215,807,0.137207,-0.8632813,0.1293945,-12.19847,-1.068702,15.47328
1609459216,0,-0.07666016,-1.482422,-0.1103516,-5.175572,-72.23664,12.41985
1609459216,268,0.1552734,-0.9467773,-0.1240234,35.62595,-51.45038,-14.80153
1609459216,534,0.2382812,-1.077148,-0.1074219,-2.679389,30.96183,-9.946565
1609459216,802,0.4248047,-0.7900391,-0.06738281,-20.32825,24.12214,15.29008
1609459217,0,0.08447267,-1.077148,0.05859375,-6.496184,-32.8168,11.0
1609459217,274,-0.0859375,-1.06543,-0.3105469,16.9313,-126.4809,-33.46565
1609459217,547,0.1430664,-0.8110351,-0.3203125,20.68702,35.53435,-1.114504
1609459218,0,0.1875,-0.7802734,0.1264648,0.687023,33.58015,-14.98473
1609459218,248,0.203125,-0.7783203,0.2065429,-9.740458,-19.12977,-0.1221374
1609459218,502,0.2421875,-0.8530273,-0.078125,-10.19847,-44.25191,9.709924
1609459218,754,0.0,-0.925293,-0.1743164,29.65649,-80.43511,-5.312977
1609459219,0,0.1010742,-1.288574,0.02539062,-6.51145,1.40458,-20.98473
1609459219,259,0.2797852,-0.9677734,0.06103516,12.9313,-56.50382,21.58015
