Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459203,0,0.1762695,-0.8603517,0.1206055,-6.129771,14.27481,-38.32824
1609459203,216,0.2807617,-1.087402,0.02490234,-20.70992,-8.152672,-10.91603
1609459204,0,0.5307617,-1.20752,-0.02441406,-2.320611,40.12977,-65.09924
1609459204,218,0.4472657,-0.9560548,-0.00292969,-28.29008,-23.59542,-8.908397
1609459204,437,0.4838867,-0.6342773,-0.0336914,10.9542,-2.969465,5.198473
1609459204,656,0.3178711,-0.7402344,-0.00830078,41.82443,20.17557,52.03053
1609459204,877,0.3349609,-0.8769531,0.1582031,11.42748,-6.656488,10.35878
1609459205,0,0.394043,-0.8681641,0.09619142,-19.38931,-15.12977,3.374046
1609459205,254,0.2358398,-0.9135742,0.1479492,5.061069,-13.80153,12.0
1609459205,506,0.2587891,-0.8769531,0.04785156,-5.816793,13.74046,-18.46565
1609459206,0,0.3549805,-0.9672851,0.1049805,11.1374,9.900764,-1.381679
1609459206,255,0.315918,-0.7827149,0.1811523,0.7099237,23.84733,3.946565
1609459206,510,0.4150391,-0.9790039,0.2377929,-0.0610687,36.19084,-18.05343
1609459206,764,0.4204102,-0.7475585,0.300293,-5.564886,40.25954,-15.19847
1609459207,0,0.3823242,-0.8364258,0.3032227,-17.96947,16.19084,8.061069
1609459207,255,0.2617188,-0.9047851,0.2895508,-15.8626,25.37405,10.76336
1609459207,507,0.2065429,-0.9077149,0.2436523,-4.007634,21.64886,-1.969466
1609459207,762,0.1894531,-0.9243164,0.2587891,-6.27481,25.51908,-14.43511
1609459208,0,0.1430664,-0.9223633,0.2202148,-13.0916,22.48092,-11.46565
1609459208,263,0.2065429,-0.9145508,0.1635742,-12.42748,50.25954,9.198473
1609459208,522,0.0336914,-0.9599609,0.159668,-21.17557,59.92366,-14.9084
1609459208,784,0.1069336,-0.8330078,0.2001953,-1.328244,42.19084,-15.70229
1609459209,0,0.125,-0.9345703,0.2397461,-8.687023,-1.625954,-4.625954
1609459209,305,0.2114258,-1.008301,0.1713867,-18.80916,-19.94657,6.717557
