Epoch_time_ms,Ax,Ay,Az,Gx,Gy,Gz
1609459204000,-0.3012695,-0.9291992,-0.3012695,-30.1145,-42.32061,1.633588
1609459204217,0.109375,-0.9091797,0.109375,-5.931298,-40.90076,4.763359
1609459205434,0.1191406,-0.9804687,0.1191406,-10.59542,-39.89313,10.93893
1609459205652,-0.0209961,-0.9355469,-0.0209961,-3.458015,-11.15267,10.40458
1609459205870,-0.09863281,-0.9667969,-0.09863281,9.465649,11.45802,2.618321
1609459205133,0.1826172,-0.8862305,0.1826172,22.05343,49.51908,-0.06870229
1609459205351,-0.06396484,-0.831543,-0.06396484,7.21374,45.53435,-4.137404
1609459206604,-0.2143554,-0.8203125,-0.2143554,-8.183207,37.96947,-17.9771
1609459206855,-0.2651367,-1.103516,-0.2651367,-26.25954,10.96947,-8.923664
1609459206108,-0.01953125,-0.9916992,-0.01953125,-9.480916,-13.12214,0.9007633
1609459207365,-0.1010742,-0.9702149,-0.1010742,0.05343513,17.52672,-7.931298
1609459207628,-0.1298828,-0.9492187,-0.1298828,30.13741,48.70992,-4.465649
1609459207883,-0.2260742,-0.8876952,-0.2260742,11.66412,28.80153,-13.29008
1609459207140,-0.2114258,-0.7919922,-0.2114258,-9.160305,10.64122,-13.03817
1609459208399,-0.1665039,-0.9824218,-0.1665039,-18.0916,7.335878,-10.19847
1609459208653,0.02539062,-0.9785156,0.02539062,-10.66412,-16.92366,10.32061
1609459208909,-0.08007812,-0.9638672,-0.08007812,12.18321,37.66412,-9.893129
1609459208165,-0.2397461,-1.040527,-0.2397461,9.076336,37.84733,-7.427481
1609459209468,-0.1787109,-0.8061523,-0.1787109,-1.40458,11.71756,-7.335878
1609459209729,-0.1811523,-0.8530273,-0.1811523,-12.83969,8.045801,-0.9465649
1609459209983,-0.1889648,-0.9125977,-0.1889648,-13.29771,18.87786,-13.0229
1609459209245,-0.04199219,-0.9418945,-0.04199219,2.671756,33.0916,-14.54198
1609459210500,-0.2011719,-0.9609375,-0.2011719,20.37405,55.12214,-31.23664
1609459210761,-0.08154297,-0.7558594,-0.08154297,20.83969,36.47328,-11.22901
1609459210019,-0.1508789,-0.8007813,-0.1508789,7.267176,20.85496,-12.91603
1609459210275,-0.1967773,-0.8041992,-0.1967773,-10.64122,33.9313,-11.57252
1609459211534,0.00439453,-0.855957,0.00439453,-25.9084,17.54198,-6.961833
1609459211796,-0.1020508,-0.9360351,-0.1020508,17.38931,52.63358,-15.15267
1609459211055,-0.1494141,-0.9658203,-0.1494141,28.03053,61.69466,-22.49618
1609459211320,-0.1630859,-0.7973633,-0.1630859,13.16031,50.0916,-22.05343
1609459212582,-0.1948242,-0.8056641,-0.1948242,13.29008,59.9084,-30.71756
1609459212841,-0.2485352,-0.8408203,-0.2485352,-14.14504,28.14504,-26.78626
1609459212102,-0.09033203,-0.9169922,-0.09033203,-16.65649,23.84733,-2.435115
1609459213369,-0.0859375,-0.925293,-0.0859375,2.40458,38.82443,-11.35878
1609459213682,0.0444336,-0.8251952,0.0444336,16.37405,75.40458,6.389313
1609459213948,-0.371582,-0.7563477,-0.371582,21.79389,56.0,-46.16793
1609459213216,-0.07714844,-1.213379,-0.07714844,-32.93893,-67.74809,73.25191
1609459214478,0.375,-0.2426758,0.375,32.07634,-1.351145,-28.46565
1609459214740,-0.2744141,-0.6430664,-0.2744141,3.748092,20.10687,-36.25954
1609459214004,-0.09179688,-1.722168,-0.09179688,-61.20611,-64.36641,87.32825
1609459214267,0.3237305,-0.5961914,0.3237305,16.54962,8.557252,-16.99237
1609459215534,-0.4711914,-0.7666016,-0.4711914,12.8626,16.07634,-32.77863
1609459215804,0.06396484,-1.892578,0.06396484,-14.54962,-26.49618,146.9695
1609459215070,0.3012695,-0.3950195,0.3012695,23.0229,-20.18321,-68.01527
1609459215337,-0.2460938,-0.831543,-0.2460938,6.580153,45.85496,-67.79389
1609459216609,0.1103516,-1.679688,0.1103516,-38.54198,-69.46565,138.7252
1609459216878,0.2333984,-0.3959961,0.2333984,22.29771,0.00763359,-31.51145
1609459216146,-0.2060547,-0.7827149,-0.2060547,22.21374,52.80153,-81.20611
1609459217414,0.05029297,-1.546387,0.05029297,-36.96947,-68.90076,114.8473
1609459217684,0.1826172,-0.6235352,0.1826172,24.44275,20.91603,-20.38168
1609459217002,-0.3085938,-0.5732422,-0.3085938,13.16794,81.09161,-70.78626
1609459217270,-0.09960938,-0.9174805,-0.09960938,-7.72519,22.37405,71.75572
1609459218541,0.05029297,-0.9311523,0.05029297,15.65649,48.0916,-47.90076
1609459218813,-0.2363281,-0.9057616,-0.2363281,38.67939,105.2519,-52.52672
1609459218092,-0.1816406,-0.8432616,-0.1816406,-1.610687,51.0458,-20.16031
1609459219404,-0.2070312,-0.7792969,-0.2070312,0.3358779,16.49618,-65.19084
1609459219654,0.07910156,-0.8984375,0.07910156,-12.55725,1.862595,-58.2061
1609459219904,0.3256836,-0.9130859,0.3256836,-6.27481,-10.40458,-29.96183
1609459219159,0.4331055,-0.7045898,0.4331055,9.900764,-17.20611,-29.19847
1609459220415,0.6796875,-0.7993164,0.6796875,11.80153,6.564886,-10.30534
1609459220671,0.7626953,-0.8403319,0.7626953,-59.39695,26.87786,33.83969
1609459220924,-0.2109375,-0.3544922,-0.2109375,57.84733,52.08397,59.63359
1609459220177,0.4506836,-2.675293,0.4506836,5.114504,111.0305,25.82443
1609459221430,-0.07324219,-0.7949218,-0.07324219,22.26717,19.75573,0.0610687
1609459221681,0.1640625,-0.8471681,0.1640625,9.587787,5.992366,-4.343512
1609459221934,0.1923828,-0.7709961,0.1923828,7.145038,9.389313,-27.86259
1609459221231,0.1577148,-0.8222656,0.1577148,-8.106871,-7.290076,2.358779
1609459222486,0.1254883,-0.8388672,0.1254883,-2.755725,4.374046,2.358779
1609459222740,0.1132813,-0.7753906,0.1132813,7.175572,19.25191,22.94657
1609459222995,-0.0444336,-0.7514649,-0.0444336,12.80153,25.38931,30.10687
1609459222246,-0.2719727,-0.6811523,-0.2719727,20.67175,23.26717,53.70992
1609459223499,-0.4160157,-0.4067383,-0.4160157,15.14504,86.39695,68.62595
1609459223756,-0.8403319,-0.203125,-0.8403319,-19.78626,47.51908,81.05344
1609459223013,-1.085449,0.3359375,-1.085449,-5.748092,21.03817,23.8855
1609459223270,-1.210938,0.1708984,-1.210938,-8.938931,3.954198,-7.862596
1609459224530,-1.006836,0.05761719,-1.006836,4.526718,20.0458,8.770992
1609459224789,-0.9658203,0.09033203,-0.9658203,-2.251908,-2.099237,0.8549618
1609459224049,-0.9726563,0.09277344,-0.9726563,-3.641222,0.1984733,-0.8167939
1609459224306,-0.9692384,0.09863281,-0.9692384,-3.068702,0.5114504,-0.9618321
1609459225566,-0.9545898,0.09033203,-0.9545898,-3.19084,1.152672,-1.129771
1609459225827,-0.9731445,0.09033203,-0.9731445,-3.007634,1.419847,-1.206107
1609459225088,-0.9726563,0.09716797,-0.9726563,-3.259542,0.4503817,-1.244275
1609459226394,-0.9755859,0.08935547,-0.9755859,-3.305344,0.1603053,-0.8015267
1609459226652,-0.9633789,0.09228517,-0.9633789,-3.427481,0.1450382,-1.198473
1609459226910,-0.9667969,0.09179688,-0.9667969,-3.114504,0.8931297,-0.9160306
1609459226167,-0.96875,0.09667969,-0.96875,-3.076336,0.7099237,-1.091603
1609459227434,-0.9633789,0.09960938,-0.9633789,-3.175572,0.687023,-1.19084
1609459227697,-0.9663085,0.09082031,-0.9663085,-3.152672,0.3664123,-1.10687
1609459227961,-0.9667969,0.1020508,-0.9667969,-3.19084,1.076336,-0.9160306
1609459227223,-0.9560548,0.08935547,-0.9560548,-3.832061,1.748092,-0.519084
1609459228486,-0.9702149,0.09423828,-0.9702149,-2.748092,-3.068702,-5.603054
1609459228750,-0.9707031,0.06054688,-0.9707031,0.648855,-4.450382,-10.8626
1609459228010,-1.018066,-0.0336914,-1.018066,12.51908,-13.12214,-34.10687
1609459228272,-1.055176,-0.1679688,-1.055176,24.09924,19.12977,-36.55725
1609459229534,-0.9838867,-0.3330078,-0.9838867,-18.07634,-11.70992,-12.19084
1609459229801,-1.20459,-0.284668,-1.20459,-14.50382,-31.06107,8.458015
1609459229071,-0.9614258,-0.2192383,-0.9614258,-1.40458,-33.20611,-24.16794
1609459229339,-0.7270508,-0.3969726,-0.7270508,-23.05343,-36.68702,-30.61069
1609459230653,-0.5849609,-0.637207,-0.5849609,-2.358779,-83.29771,-30.15267
1609459230917,-0.1069336,-0.5273438,-0.1069336,-12.58015,27.60305,-28.44275
1609459230179,-0.4023438,-0.6630859,-0.4023438,-5.916031,9.801527,-18.77863
1609459231445,-0.2817383,-0.7758789,-0.2817383,-5.549619,-7.083969,-26.77099
1609459231713,-0.1313477,-0.7407227,-0.1313477,4.366412,8.137404,-39.38931
1609459231985,0.137207,-0.7319336,0.137207,12.00763,3.10687,-4.580153
1609459231252,0.2021484,-0.8481445,0.2021484,31.58779,52.41985,-19.8855
