Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459203,0,-0.3217773,-0.9536133,-0.01806641,-13.12977,6.969466,-17.55725
1609459203,216,-0.1630859,-0.8071289,0.05419922,9.244275,15.12977,-3.007634
1609459204,0,0.08300781,-0.8623048,0.1865234,-8.129771,17.69466,2.19084
1609459204,218,-0.0234375,-0.9194336,0.1811523,-20.61069,-2.770992,-6.030534
1609459204,437,0.02294922,-1.005859,-0.1450195,-5.244275,-41.13741,7.70229
1609459204,656,0.0209961,-0.887207,-0.1074219,10.90076,2.977099,-7.793893
1609459204,877,0.159668,-0.956543,0.07226562,24.33588,-30.12977,0.8625955
1609459205,0,-0.1206055,-0.9316406,0.09082031,-17.54198,-41.41221,13.57252
1609459205,304,-0.06445312,-0.8291017,0.1025391,-7.923664,-5.129771,-1.763359
1609459205,558,-0.01464844,-1.242676,0.07177734,-11.49618,14.70992,-17.77099
1609459206,0,0.05175781,-0.9375,-0.1069336,2.801527,63.27481,0.1908397
1609459206,253,0.04296875,-0.9140625,-0.08154297,1.984733,12.25191,-7.923664
1609459206,510,-0.15625,-0.8881836,-0.0756836,-19.77099,30.61832,-4.015267
1609459206,762,-0.01220703,-0.8583983,0.046875,-0.6946565,3.862595,-1.984733
1609459207,0,0.04052734,-1.416504,-0.1303711,3.580153,-15.54962,-13.99237
1609459207,253,-0.03417969,-0.9223633,-0.105957,-5.015267,-26.49618,8.603053
1609459207,513,0.1499023,-0.9042969,0.0571289,-4.458015,-76.46565,21.85496
1609459207,771,-0.1855469,-1.095703,0.01220703,-10.83206,-13.68702,0.8549618
1609459208,0,0.0390625,-0.9672851,0.08496094,2.183206,74.32061,-15.56489
1609459208,257,0.05957031,-0.9921875,-0.2075196,20.13741,90.73283,1.21374
1609459208,516,0.08984375,-1.000488,-0.01464844,-7.305343,-21.87786,7.916031
1609459208,776,-0.2294922,-0.7636718,-0.1357422,-14.47328,-49.41985,16.64122
1609459209,0,-0.01123047,-0.84375,0.0493164,-9.129771,-27.45038,-1.847328
1609459209,259,0.01806641,-1.431152,0.03076172,-3.061069,0.6412213,-35.55725
1609459209,567,0.01904297,-0.8769531,-0.08447267,8.389313,32.06107,27.65649
1609459209,827,-0.1835938,-1.331543,0.1806641,-32.44275,-63.83207,-4.114504
1609459210,0,0.00976562,-0.8598633,0.1416016,-29.85496,-121.1298,7.641222
1609459210,262,0.01757812,-1.003418,0.1171875,-15.49618,21.63359,-1.763359
1609459210,527,-0.07128906,-0.8554687,-0.1376953,16.90076,95.37405,-14.33588
1609459210,785,-0.08203125,-0.8569336,-0.1176758,21.0,32.07634,-17.58779
1609459211,0,-0.2460938,-1.091797,-0.07519531,-46.76336,-13.56489,37.27481
1609459211,259,0.04638672,-0.8652344,0.1352539,-10.67176,-30.13741,12.63359
1609459211,522,0.07958984,-1.27002,-0.04638672,-10.42748,24.13741,-15.57252
1609459212,0,-0.02978516,-0.7431641,-0.1166992,19.90076,0.8549618,-0.8625955
1609459212,263,-0.4648438,-1.09668,-0.01513672,-17.24427,-65.52672,14.64122
1609459212,527,0.1953125,-0.7192383,0.2143554,-16.25954,-16.12214,18.99237
1609459212,789,-0.1245117,-1.15625,-0.1220703,0.9007633,17.29771,-6.427481
1609459213,0,0.00585938,-0.7719727,-0.07519531,31.33588,17.36641,-2.312977
