Ax,Ay,Az,Gx,Gy,Gz
-0.2036133,0.1044922,0.3818359,111.6641,197.2366,82.48855
-0.1777344,-0.3310547,0.8989258,61.22901,-38.29008,2.931298
0.2246094,-0.09863281,0.9858398,7.374046,-8.763359,-4.366412
0.02001953,0.3720703,0.8725586,-61.04581,193.4351,15.0458
-0.9760742,-0.4541016,1.73291,-31.63359,-242.1679,43.06107
-0.1713867,-0.2631836,-0.2260742,-17.35114,-74.50381,9.343512
-0.01660156,0.02783203,0.1611328,1.40458,-17.87023,53.14504
0.06445313,0.05029297,0.1669922,-185.7252,79.1832,-236.2748
-0.05273438,0.06884766,0.05273438,-49.0916,137.2672,-111.9771
1.140625,0.1806641,1.806641,-99.73283,-149.1603,-3.114504
0.09570313,-0.1005859,0.9985352,-14.19084,-58.67939,-4.442748
0.2797852,-0.1240234,0.8364258,-20.92366,-122.0992,9.992367
-0.5864258,-0.171875,1.145996,-173.9389,246.4657,69.90839
-1.066895,-0.05078125,1.04248,-95.99236,-184.4427,8.167939
0.2436523,-0.1835938,-0.07373047,22.70229,-99.41222,21.89313
-0.1933594,-0.08349609,0.2675781,-17.05343,163.6336,42.0687
0.2392578,-0.7148438,-0.05273438,250.1298,250.1298,-248.1832
-0.5263672,0.006347656,1.015625,-169.2901,-248.1832,-72.00764
0.4233398,-0.05029297,0.9960938,-6.778626,-8.877863,-0.9770992
0.2851563,-0.0078125,0.9755859,1.832061,11.93893,0.3053435
0.394043,0.02685547,0.8735352,7.366412,-32.36641,3.282443
0.175293,0.140625,1.162598,36.96947,22.48855,-5.61832
-0.8383789,-0.04785156,1.671387,-118.0229,-44.0687,-51.87023
0.1269531,-0.1132813,0.1635742,-68.0458,-84.17558,-16.0687
0.06835938,0.21875,-0.02246094,-36.08397,-144.5802,134.7481
0.08056641,0.04296875,0.1147461,-168.7939,39.03053,-149.9924
-0.3237305,0.2172852,0.4741211,-39.68702,250.1298,24.53435
0.4946289,-0.02734375,0.4243164,16.33588,20.48092,17.18321
0.4116211,-0.07861328,0.9711914,-6.320611,25.13741,1.435114
0.3310547,-0.1083984,0.9379883,-2.053435,15.41985,2.648855
-0.1923828,-0.1572266,0.7055664,14.08397,188.2824,16.89313
-0.7250977,-0.6235352,1.435547,-68.73283,-52.61832,10.21374
-0.2182617,-0.296875,0.6118164,-76.52672,-99.68702,-45.23664
0.5053711,-0.472168,-0.8774414,-1.618321,-226.6565,34.46565
0.06445313,0.03320313,0.1484375,-155.6794,161.0992,-64.87786
-3.904297,1.179688,0.5219727,140.8092,98.65649,250.1298
-0.1279297,-0.06054688,0.6826172,-31.69466,-20.61069,-7.847328
-0.02441406,-0.1420898,0.9833984,-2.984733,-0.4885496,-1.114504
0.1542969,0.07910156,1.188965,-61.45038,78.30534,-7.557252
-0.1220703,-0.1606445,1.248047,-46.61832,87.64122,61.09924
-0.4277344,-1.147949,0.9775391,-123.1756,-57.0458,-28.93893
-0.3134766,-0.7348633,0.4233398,8.847328,-37.27481,-101.916
0.09033203,0.2094727,-0.3745117,214.6107,-244.9008,84.68702
0.01708984,-0.01025391,0.2397461,-102.1145,56.32825,-55.67939
-1.170898,0.2319336,0.1020508,-25.8855,250.1298,-18.48855
-0.8686523,-0.1455078,0.07177734,41.66412,-198.6183,1.045802
-0.265625,-0.1210938,0.5629883,-29.70229,-11.38168,-6.206107
0.01757812,-0.1206055,1.072754,-18.85496,88.09161,49.56488
-0.6831055,-1.072266,0.9594727,-75.7252,-105.0382,17.19847
0.1538086,-0.581543,0.7529297,-35.1832,-162.6488,-16.78626
0.4013672,-0.2724609,0.5131836,33.83969,-3.717557,13.67176
0.230957,-0.4887695,-0.09033203,17.0687,-22.22901,83.00764
0.06542969,0.06201172,0.2280273,-70.74046,-16.0916,-55.57252
0.1591797,-0.5361328,4.014648,250.1298,49.41221,-2.664122
1.373535,-0.4868164,1.620605,-129.9542,115.374,28.12977
0.1577148,0.01513672,1.014648,-3.587786,2.977099,-2.007634
0.1357422,0.09472656,1.035156,-7.274809,-84.73283,12.49618
-0.2045898,-0.04833984,1.530762,-163.5954,250.1298,40.58779
-1.26709,0.09912109,0.9282227,-78.17558,-131.7252,-42.67176
0.2871094,0.3217773,0.1362305,-61.68702,-88.01527,40.41985
0.04443359,0.05224609,0.184082,22.50382,-94.1832,-39.17557
0.005371094,-0.1499023,0.6113281,51.51908,250.1298,-104.9389
-1.144043,-0.2827148,0.6279297,-56.15267,-248.1832,-61.10687
0.1513672,-0.144043,1.054688,2.167939,-47.44275,-5.099236
0.2729492,-0.06591797,0.7646484,3.51145,-32.91603,-7.351145
-0.5976563,-0.4282227,0.9033203,-182.2214,201.7786,123.3969
-0.7036133,-0.04980469,1.331543,-82.21374,-86.67939,18.89313
0.05664063,-0.2045898,0.2192383,-26.99237,-81.03817,-25.53435
0.2783203,-0.4946289,-0.08642578,-23.19847,-28.98473,68.74046
0.0390625,0.03076172,0.1738281,-83.03817,10.49618,-91.73283
0.1484375,0.0390625,0.1083984,200.0076,164.4809,105.4885
0.3095703,-0.1264648,0.4199219,34.72519,58.93893,16.74809
-0.3671875,0.2226563,0.04345703,51.22137,-160.1221,-39.32061
-0.03125,-0.2495117,1.39502,-89.51145,120.2214,40.20611
-0.6835938,-0.1147461,1.42627,-133.2748,-175.3359,29.26718
-0.1523438,-0.2543945,0.1333008,-123.0305,-46.50382,-25.91603
0.1835938,-0.631836,0.01220703,15.06107,-26.22138,-23.29008
