Ax,Ay,Az,Gx,Gy,Gz
0.5307617,-0.253418,1.550781,158.5802,-248.1832,45.07634
-0.1347656,0.02441406,0.06689453,91.40458,65.79389,-36.93893
-0.2529297,-0.1020508,1.446289,-54.9542,222.1145,-24.64122
-0.5400391,-0.1254883,2.395508,50.80916,58.37405,-8.076336
0.05712891,-0.08105469,0.5283203,-16.44275,-184.855,-19.93893
0.04150391,-0.06396484,0.2939453,0.2213741,71.01527,-22.79389
-0.4550781,-0.01269531,1.225586,-5.38168,245.8321,-45.8855
0.1035156,-0.3710938,1.729004,-38.87786,-237.4733,2.091603
0.004882812,-0.078125,0.2133789,61.03817,-63.58015,-32.80153
-0.1845703,-0.03955078,0.2451172,24.06107,77.31298,43.25191
-0.4633789,-0.1669922,2.47168,28.91603,145.6794,14.0687
0.1328125,-0.1567383,0.6962891,58.51908,-244.6565,-8.206107
-0.05078125,-0.02197266,-0.02441406,12.54962,33.74809,12.41985
-0.06689453,0.02197266,0.9086914,-182.6107,178.2595,15.24428
-0.9086914,-0.05126953,3.087891,65.92367,22.87786,-22.46565
0.01708984,-0.03613281,0.3862305,55.03053,-188.5343,0.1145038
0.1132813,-0.09179688,0.04248047,16.60305,41.31298,11.46565
-0.1479492,0.05810547,1.345703,-172.0229,167.5496,-14.46565
0.284668,-0.08935547,1.511719,90.09924,-248.1832,24.67939
0.07519531,-0.06640625,0.4008789,47.94656,-158.1145,20.45038
0.06054688,-0.06787109,0.2539063,-9.564885,97.31298,-3.969466
-0.2304688,-0.004882812,1.640625,-80.67939,196.1985,-21.58779
0.03857422,-0.05908203,1.765137,75.76336,-240.458,32.87786
0.06738281,-0.09814453,0.006835938,63.07634,-95.00764,14.41221
0.1015625,-0.01025391,0.2080078,-78.40457,122.8244,-29.93893
-0.2583008,-0.03808594,1.669434,-137.9771,175.6565,-29.49618
0.1679688,-0.1074219,2.127441,148.0229,-248.1832,40.41985
0.02246094,-0.05566406,0.02587891,66.79389,-62.12214,24.91603
-0.4282227,0.2983398,0.4243164,-158.9924,122.5343,-41.89313
-0.1264648,0.06835938,2.402832,-8.870229,113.8397,-37.9771
0.1235352,-0.04443359,1.32666,97.19847,-180.5343,35.76336
-0.000976562,-0.06347656,0.1743164,20.05343,-78.03817,-5.694656
-0.01855469,0.06445313,0.5888672,-83.30534,91.10687,-12.22901
-0.1230469,0.04296875,1.183594,-56.9313,80.67939,-12.83206
-0.2993164,0.01318359,1.712402,23.28244,-19.24427,-26.31298
-0.2470703,-0.006835938,1.448242,34.51145,-51.14504,-7.877862
-0.09521483,-0.1313477,0.9111328,39.8168,-37.45802,17.54198
-0.1176758,0.006347656,0.4433593,13.57252,1.755725,12.1145
-0.05566406,-0.005371094,0.519043,-25.93893,34.29771,7.534351
-0.0546875,0.04101563,0.7958984,-85.38931,79.59542,-14.54962
-0.2207031,0.05126953,1.51416,-63.99237,76.84733,-38.25954
-0.4370117,0.1958008,1.755371,43.53435,-73.86259,-14.40458
-0.06640625,-0.1518555,0.8237305,54.17557,-86.9771,24.65649
0.01611328,-0.09814453,0.3125,24.74046,-13.27481,2.374046
-0.1289063,0.02148438,0.5712891,-74.73283,46.82443,-29.64122
-0.1171875,-0.06347656,0.956543,-66.71756,72.40458,-3.526718
-0.3959961,0.004394531,2.069336,51.70229,3.167939,11.9771
-0.08349609,0.03515625,0.5830078,55,-79.14503,7.961832
-0.03076172,-0.05517578,0.3500977,-37.01527,43.00763,-11.41221
-0.2202148,0.09326172,1.070313,-78.65649,81.50381,-43.0687
-0.3637695,-0.004394531,1.976074,67.19847,-85.64121,23.78626
-0.2373047,-0.08691406,0.9038086,-45.8168,7.312977,-25.70992
-0.02050781,-0.4150391,0.6196289,-31.96947,26.39695,-28.83969
-0.1088867,-0.4414063,0.4643555,59.87786,-9.175572,1.664122
-0.1254883,0.01171875,1.096191,65.15267,-43.20611,50.37405
-0.07324219,0.005859375,0.9125977,-14.19847,0.259542,13.08397
-0.1391602,0.01611328,0.9101563,-19.41221,1.221374,10.8855
-0.2265625,-0.03466797,0.9555664,-8.351145,-1.847328,13.8855
-0.1953125,0.03759766,0.9760742,17.48855,-16.93893,10.27481
-0.2094727,0.1201172,0.9916992,-8.442748,3.618321,-2.183206
-0.1552734,0.01123047,0.9755859,-10.29771,-1.633588,-0.832061
-0.1928711,0.01367188,0.9472656,7.038168,-6.473282,-0.5954198
-0.09472656,0.02246094,0.9672852,-3.946565,-5.473282,-2.824427
-0.07177734,0.03076172,0.9414063,11.07634,-9.992367,-5.793893
0.01123047,0.07470703,1.020508,-1.10687,-7.625954,5.48855
-0.002441406,0.04101563,0.9721681,-8.610687,-2.160305,9.091603
-0.01123047,0.01611328,0.9848633,-11.57252,2.80916,12.61832
-0.03076172,0.006835938,0.9736328,-7.587786,4.152672,2.908397
-0.03369141,0.02001953,1.031738,2.580153,5.10687,9.221375
-0.09326172,0.06396484,1.004395,2.694656,-8.755725,1.557252
-0.1772461,0.1494141,1.126953,-14.69466,-8.183207,-12.34351
-0.05859375,-0.1479492,0.7973633,-40.71756,34.46565,-25.67175
-0.15625,-0.2094727,0.8789063,18.38168,-21.67175,2.305344
-0.2021484,-0.02978516,1.166016,4.648855,-8.366412,-11.80916
-0.001953125,-0.04882813,0.8652344,22.82443,-1.076336,-28.70229
-0.007324219,-0.04345703,1.041016,9.221375,-6.091603,-8.221375
-0.08105469,-0.1210938,0.8564453,5.274809,1.580153,14.8855
-0.1010742,0.009277344,1.064453,23.22901,-33.31298,-5.068702
0.1074219,-0.01464844,0.8979492,9.793892,-6.725191,35.16031
0.02685547,0.1416016,1.125488,-54.50382,24.06107,39.06107
0.08447266,-0.02880859,0.8164063,41.16031,-108.5267,-2.435114
-0.02636719,0.09814453,0.625,-98.06107,44.13741,32.96183
-0.06152344,0.1010742,1.375488,37.96947,-8.351145,-12.20611
-0.02636719,-0.1630859,0.6855469,49.16794,-48.80153,9.54962
-0.1430664,0.1479492,0.918457,-110.1221,92.59542,-61.19847
-0.1611328,-0.1811523,1.226563,149.1985,-69.85497,17.17557
-0.1376953,-0.2641602,0.4614258,-20.10687,-17.89313,9.885496
-0.1518555,-0.0546875,1.222168,-77.42748,77.23664,5.534351
-0.1806641,-0.05712891,1.4375,87.67175,-67.0458,7.282443
-0.05957031,-0.1015625,0.4477539,19.8855,-19.65649,8
-0.07763672,-0.009765625,0.7553711,-91.82442,31.32061,18.1145
-0.09228517,-0.06396484,1.525391,-14.53435,14.40458,-10.63359
-0.07470703,-0.06835938,0.9189454,66.74809,-49.26717,3.290076
0.06152344,-0.1713867,0.5820313,-34.75573,3.358779,33.33588
0.01220703,-0.07275391,0.8837891,-22.0916,-3.396947,-2.396947
-0.02099609,-0.1464844,0.9697266,-9.267176,-7.473282,-0.8244275
-0.008300781,-0.1030273,0.9316406,-7.977099,-3.816794,2.938931
0.02783203,-0.1132813,0.9750977,-5.366412,3.251908,-1.564886
-0.04589844,-0.125,0.9360352,7.534351,1.374046,-6.541985
0.04345703,-0.02392578,0.9321289,-5.656488,28.24427,-13.77863
-0.04052734,-0.09716797,0.9301758,3.755725,45.9771,-27.84733
-0.1889648,-0.1318359,0.9345703,4.755725,16.89313,-18.60305
-0.1489258,-0.171875,0.9853516,2.282443,-1.465649,-7.977099
-0.2119141,-0.08740234,0.9101563,-5.389313,0.9312977,1.160305
-0.2143555,-0.09667969,0.9663086,-2.251908,-1.366412,0.8549618
-0.2167969,-0.07128906,0.9536134,-3.19084,3.755725,2.335878
-0.2021484,-0.06884766,0.9790039,-6.732825,6.267175,6.091603
-0.2890625,-0.1108398,0.8862305,-2.045802,-5.137404,3.847328
-0.237793,-0.1328125,0.8833008,-7.931298,-4.145038,6.641222
-0.2236328,-0.1035156,0.956543,0.4732824,-0.5496183,4.152672
-0.2011719,-0.1064453,0.9321289,-2.389313,1.305344,1.977099
-0.1577148,-0.1538086,0.9501953,2.007634,-7.21374,4.442748
-0.1782227,0.01025391,0.9233398,-0.6793893,-5.580153,20.57252
-0.1499023,0.02832031,0.9760742,-3.603053,-0.2290076,4.709924
-0.159668,0.000976562,0.9707031,-3.19084,-0.5648855,-1.992366
-0.1987305,0.006835938,0.996582,-2.656489,-2.007634,-2.625954
-0.1591797,-0.01611328,0.9863281,-4.320611,1.931298,-1.725191
-0.1640625,-0.009765625,0.9604492,-3.251908,1.854962,0.3053435
-0.1743164,-0.009277344,0.9672852,-3.061069,-2.755725,-1.832061
-0.1733398,-0.01269531,0.9873047,-3.343511,-1.40458,-2.221374
-0.1367188,-0.04589844,0.9995117,-26.67939,1.572519,7
-0.06152344,-0.1401367,0.894043,-14.82443,-9.648855,-4.603054
-0.1040039,-0.199707,0.9394531,-2.465649,14.34351,-3.290076
-0.1000977,-0.2875977,0.9580078,-26.27481,16.19847,2.847328
-0.2192383,-0.2207031,0.9121094,-14.68702,-7.91603,-2.580153
-0.1733398,-0.2504883,0.8999023,-6.007634,-0.7709923,-10.38168
-0.1411133,-0.3032227,0.9028319,-4.587786,5.51145,0.08396947
-0.1669922,-0.2661133,0.9238281,-1.358779,-1.59542,-0.7022901
-0.1640625,-0.2475586,0.918457,0.3664122,1.80916,-1.763359
-0.1289063,-0.2041016,1.035645,7.70229,5.259542,-14.10687
-0.1411133,-0.1860352,1.029297,-3.770992,-4.442748,-17.87786
-0.1083984,-0.1401367,0.9897461,7,9.610687,-25.80916
-0.140625,-0.3227539,0.8935547,2.877863,7.160306,-12.77863
-0.2373047,-0.2583008,0.918457,11.67176,11.75572,21.58779
-0.3544922,-0.1357422,0.9418945,-0.8244275,61.84733,35.35115
-0.5703125,-0.1542969,0.8295898,-1.816794,32.47328,32.29771
-0.6074219,-0.1884766,0.722168,-2.78626,32.39695,9.946565
-0.6777344,-0.1186523,0.4658203,-13.24428,7.244275,8.251908
-0.659668,0.05419922,0.6645508,13.70229,-45.42748,15.26718
-0.4702148,0.1074219,0.8759766,14.64886,-44.45802,-1.816794
-0.1904297,0.05615234,0.9721681,1.290076,-17.25191,1.396947
-0.2626953,0.1728516,0.9140625,-37.19847,3.229008,0.1603054
-0.359375,0.03515625,0.9765625,-34.32824,78.8855,-13.87786
-0.5883789,-0.1274414,0.9321289,-49.30534,80.54961,-42.08397
-0.6508789,-0.456543,0.2939453,-25.94656,88.93894,-42.14504
-0.7070313,-0.5654297,0.1293945,8.770992,42.77863,-23.73282
-0.7080078,-0.6879883,-0.0078125,-18.0458,32.67176,-13.80916
-0.6914063,-0.6674805,-0.1699219,-56.59542,45.29008,13.78626
-0.684082,-0.5126953,-0.3652344,-15.96947,42.8855,21.51145
-0.6655273,-0.4736328,-0.6220703,-5.603054,-3.694656,2.633588
-0.7338867,-0.5263672,-0.3666992,19.62595,-42.84732,3.442748
-0.7412109,-0.4589844,-0.4140625,16.98473,-116.1679,2.351145
-0.6152344,-0.5644531,0.4443359,34.98473,-84.48854,58.8855
-0.7373047,-0.1430664,0.7104492,14.35114,-72.67939,35.80916
-0.4555664,-0.02734375,0.7939454,29.83206,-44.03817,22.86259
-0.3886719,0.08740234,0.9067383,20.87786,-15.80916,-2.473282
-0.3266602,0.1420898,0.8725586,5.38168,-21.53435,0.351145
-0.2631836,0.06982422,0.9750977,-15.37405,-25.03817,-8.961832
-0.2714844,0.1206055,0.9350587,-7.534351,-6.687023,-10.41221
-0.04345703,0.1396484,1.004883,10.66412,-23.65649,-17.42748
0.03076172,0.09667969,0.9995117,-27.62595,-50.32824,-34.0458
0.06445313,0.09667969,0.9545898,-8.099236,2.038168,-33.77099
0.01025391,0.03515625,0.9902344,-8.099236,-2.572519,-2.610687
-0.02246094,0.04980469,1.006836,-8.816793,5.030534,15.03817
-0.03125,0.06054688,1.028809,8.030535,-6.374046,5.458015
0.05957031,0.01806641,0.9526367,-3.48855,4.992366,36.21374
0.05859375,0.07373047,1.039551,-3.061069,-9.206107,-5.274809
0.03271484,0.02246094,0.9790039,-1.80916,3.839695,-11.19847
0.03320313,0.03076172,0.9667969,2.847328,3.503817,-7.366412
0.04736328,0.05224609,0.9926758,0.5648855,-1.78626,-1.641221
0.04492188,0.05957031,0.9619141,-0.1221374,-1.129771,2.580153
0.02929688,0.01123047,0.9350587,-7.740458,-3.862595,9.938931
0.009765625,0.137207,0.9697266,3.992366,4.977099,-0.09923664
-0.03271484,0.128418,0.9501953,6.870229,10.18321,-12.45802
0.01953125,0.08349609,1.005859,-11.70229,2.022901,-15.25191
-0.01025391,0.05273438,0.987793,-15.8626,0.4122138,-7.496183
-0.03564453,-0.004394531,1.000488,-8.312977,11.8626,-15.84733
-0.03710938,-0.05810547,0.9960938,-10.43511,0.5114504,-14.90076
-0.04101563,-0.1269531,0.9487305,-7.961832,3.053435,-7.519084
-0.05908203,-0.1557617,0.9482422,-0.5725191,-1.656489,6.862596
-0.004394531,-0.1044922,0.9458008,6.59542,-2.885496,22.58015
-0.02246094,-0.04003906,0.9711914,3.526718,-6.992366,16.39695
-0.02148438,0.03076172,1.008789,13.17557,-1.19084,2.091603
0.003417969,0.0234375,0.9790039,-0.8778625,1.732824,5.290076
0.008300781,0.03759766,0.9677734,-6.206107,2.412214,-0.4732824
-0.03515625,0.05419922,1.003418,-1.221374,3.885496,-4.08397
-0.1040039,0.01513672,0.9863281,-10.17557,3.076336,-4.030534
-0.07373047,0.04003906,1.008789,-17.70992,-0.7633588,-12.67176
-0.09130859,-0.1010742,0.9174805,-40.29008,17.39695,-18.27481
-0.1230469,-0.2626953,0.9130859,-20.64886,9.557252,-15.87786
-0.1210938,-0.3198242,0.8652344,-11.14504,-0.0610687,-8.21374
-0.1699219,-0.3149414,0.9169922,-2.129771,5.816794,-10.67939
-0.04833984,-0.3505859,0.9267578,7.305344,-9.145039,-5.656488
-0.05517578,-0.2636719,0.9204102,1.923664,-6.442748,0.8625955
-0.01708984,-0.2294922,0.9707031,5.160306,-10.56489,0.2824428
-0.01220703,-0.1811523,0.9365234,1.022901,-3.549618,21.48855
-0.02539062,-0.1289063,0.9863281,6.114504,-5.862596,16.74809
0.009277344,-0.1054688,0.9438477,14.00763,-6.526718,9.992367
-0.01025391,0.006347656,0.9697266,4.244275,6.19084,7.236641
-0.05566406,0.007324219,0.9399413,0.3282443,11.62595,3.564886
-0.08007813,0.01171875,1.026855,-2.29771,4.679389,-3.519084
-0.08398438,-0.01855469,0.996582,-1.534351,1.778626,-1.900763
-0.08886719,0.02294922,0.9672852,2.549618,-5.267175,-5.152672
-0.001464844,-0.01269531,0.9970703,2.946565,-12.29771,-12.0687
-0.01660156,0.04443359,0.9707031,-7,-10.51908,-6.641222
0.01513672,0.04394531,1.008301,-0.5343512,-4.290076,-0.9847328
0.01171875,0.04296875,1.009766,-0.2671756,11,-5.671756
-0.02880859,0.02197266,0.8930664,1.175573,-8.648855,5.740458
-0.03173828,0.01367188,0.9672852,-1.152672,4.40458,-1.923664
-0.01953125,0.008789062,0.9648438,-3.687023,-1.015267,-0.2900764
-0.04833984,0.01904297,0.9741211,-1.91603,0.5725191,-1.396947
-0.02880859,0.04003906,0.9926758,-6.290076,-5.38168,-0.01526718
-0.04931641,0.04296875,0.953125,-4.137404,0.7328244,-1.389313
-0.005371094,0.005859375,0.9746093,-3.656489,-0.3664122,-0.05343511
-0.01953125,0.01855469,1.011719,-7.648855,1.068702,-2.763359
-0.002441406,0.01464844,0.9804688,-8.473283,2.633588,-2.458015
-0.03173828,0.02001953,0.9829102,8.244275,-4.061069,2.534351
-0.01220703,0.03662109,0.9863281,-0.5877862,1.10687,-0.5801527
-0.00390625,0.007324219,0.9472656,-6.244275,4.778626,-0.7099237
-0.03173828,0.03222656,0.9619141,-5.557252,2.801527,0.4198473
-0.03222656,0.01806641,0.9462891,-7.992366,2.229008,-0.4351145
-0.03320313,0.03222656,0.9545898,-0.870229,-1.145038,-1.442748
-0.03857422,0.01708984,0.9780273,-5.229008,-1.763359,-2.038168
-0.04199219,0.04101563,0.9912109,-3.580153,1.08397,-1.274809
-0.03955078,0.02587891,0.9638672,-2.671756,1.725191,-0.519084
-0.03222656,0.04003906,0.9936523,-3.496183,-0.3358779,-0.5114504
-0.04101563,0.02880859,0.9760742,-3.748092,-1.068702,-0.610687
-0.03027344,0.02832031,0.9760742,-3.48855,-0.5648855,-0.8931297
-0.02880859,0.03466797,0.9936523,-2.755725,1.312977,-0.9465649
-0.04541016,0.03466797,0.9716797,-4.572519,0.1679389,-1.015267
-0.04199219,0.04101563,1.006836,-3.832061,-1.48855,-1.076336
-0.04199219,0.03417969,0.9853516,-3.473282,0.1374046,-1.038168
-0.04638672,0.03222656,0.9760742,-2.839695,0.6412214,-1.244275
-0.04150391,0.04638672,0.9902344,-4.70229,0.09160305,-0.6564885
-0.04541016,0.03808594,0.9736328,-3.435114,0.03053435,-1.221374
-0.03076172,0.02929688,0.9863281,-2.618321,0.6259542,-0.8625955
-0.05175781,0.04101563,0.9711914,-3.717557,-0.1832061,-1.534351
-0.03662109,0.03515625,0.9814453,-2.137405,0.3587786,-1.167939
-0.03222656,0.03857422,0.984375,-3.206107,0.6870229,-0.9389313
-0.0390625,0.03076172,0.9785156,-4.129771,0.1755725,-1.381679
-0.09472656,0.0390625,0.9819336,-18.61832,6.587786,-4.29771
-0.09326172,-0.02636719,1,-30.32061,-0.778626,-5.496183
-0.09667969,-0.1142578,0.9433594,-2.030534,11.9313,-9.145039
-0.1391602,-0.1943359,0.8989258,-16.70992,-4.946565,-7.977099
-0.08056641,-0.2573242,0.9228516,-21.25954,14.1374,-11.38931
-0.1811523,-0.3388672,0.8515625,-16.32061,21.00763,12.00763
-0.2143555,-0.4145508,0.8496093,-6.564886,4.053435,0.8778625
-0.2124023,-0.3920898,0.868164,-2.694656,-0.7175572,0.4427481
-0.1821289,-0.3955078,0.8754883,5.160306,0.7557252,-0.2366412
-0.1787109,-0.3842773,0.855957,-3.343511,-8.458015,1.633588
-0.1577148,-0.3706055,0.8481445,-0.1908397,-0.5496183,0.7938931
-0.1391602,-0.2905273,0.9550781,21.47328,0.5572519,-3.10687
-0.1464844,-0.06689453,0.949707,26.49618,-12.1374,0.6717557
-0.1420898,-0.0546875,0.9375001,-4.374046,3.282443,-3.343511
-0.1455078,-0.1035156,0.9492188,-8.961832,4.656488,-2.091603
-0.1557617,-0.1181641,0.9677734,-16.72519,8.946565,-1.167939
-0.1928711,-0.1572266,0.9316406,-21.80153,10.31298,-2.282443
-0.2329102,-0.125,0.8984375,-25.09924,10.33588,2.748092
-0.2680664,-0.3378906,0.8657228,-13.13741,-5.099236,0.5114504
-0.2495117,-0.3652344,0.8505859,-8.251908,3.541985,1.206107
-0.2441406,-0.387207,0.8325195,-1,2.580153,1.381679
-0.2822266,-0.3510742,0.840332,-3.641221,-1.625954,-0.7480916
-0.2509766,-0.3100586,0.9003907,25.01527,-5.641222,0.09923664
-0.206543,-0.1801758,0.9091797,30.77863,-14.19847,7.030534
-0.1582031,-0.04199219,0.934082,40.61069,-5.801527,0.2366412
-0.1948242,0.1816406,0.8842772,24.19847,21.44275,6.923664
-0.1660156,0.1323242,0.953125,-5.740458,13.77863,3.641221
-0.2114258,0.1254883,0.9580078,-12.32061,0.5114504,-2.465649
-0.2099609,0.04492188,0.9912109,-32.56488,2.045802,-11.98473
-0.2407227,-0.1206055,0.9057617,-26.48092,8.343512,-10.51145
-0.2641602,-0.2109375,0.9213866,-15.62595,15.84733,-5.48855
-0.3256836,-0.253418,0.8666992,-20.58015,1.458015,-5.656488
-0.3374023,-0.2734375,0.8652344,-6.839694,-7.007634,-0.2748091
-0.2998047,-0.3076172,0.871582,-2.458015,0.778626,0.519084
-0.300293,-0.3144531,0.8706055,3.458015,2.396947,0.961832
-0.3164063,-0.2866211,0.8652344,-3.480916,-0.961832,0.389313
-0.3076172,-0.2866211,0.8569336,-2.801527,-1.282443,-0.3664122
-0.2646484,-0.2392578,0.909668,20.74046,-5.801527,6.137404
-0.2978516,-0.07958984,0.9311523,10.12214,0.9465649,5.480916
-0.2875977,-0.1015625,0.9082031,-3.70229,-0.3969466,-0.259542
-0.2880859,-0.06542969,0.9501953,-6.549618,-1,-1.977099
-0.2866211,-0.1591797,0.9316406,-33.58015,3.824427,-19.50382
-0.2998047,-0.2084961,0.9077148,-6.480916,1.51145,-0.8625955
-0.3022461,-0.1943359,0.9291992,-5.755725,1.389313,-2.641221
-0.2724609,-0.1860352,0.925293,-3.19084,1.396947,1.183206
-0.2866211,-0.2680664,0.8876953,-16.54198,3.10687,-7.610687
-0.315918,-0.2680664,0.8842772,-6.10687,0.610687,-1.580153
-0.3173828,-0.2724609,0.8798828,-3.580153,0.5343512,-0.9694656
-0.3198242,-0.2827148,0.8706055,-4.503817,1.480916,-2.198473
-0.3325195,-0.2753906,0.881836,-5.427481,1.122137,-2.664122
-0.3120117,-0.3134766,0.8432617,-5.091603,0.129771,-0.2366412
-0.3066406,-0.309082,0.8330078,2.557252,0.3740458,1.328244
-0.3251953,-0.2041016,0.8725586,38.51145,-6.748092,11.01527
-0.2944336,-0.1118164,0.8891602,24.67939,-15.52672,13.71756
-0.2045898,0.07226563,0.8652344,-59.29008,-22.40458,19.19084
-0.1210938,0.05273438,0.9833984,-1.885496,-0.9923665,-3.183206
-0.1245117,0.02978516,0.9799805,0.3664122,-19.8626,0.6183206
